"code_site";"code_station";"date_obs_elab";"resultat_obs_elab";"date_prod";"code_statut";"libelle_statut";"code_methode";"libelle_methode";"code_qualification";"libelle_qualification";"longitude";"latitude";"grandeur_hydro_elab"
"F7000001";"F700000103";"2023-05-01";"252246.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-05-02";"240628.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-05-03";"224291.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-05-04";"208584.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-05-05";"204425.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-05-06";"206367.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-05-07";"255516.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-05-08";"223808.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-05-09";"229488.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-05-10";"238579.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
